@RELATION programmer_profiling

@ATTRIBUTE "Non-empty Lines" REAL
@ATTRIBUTE Words REAL
@ATTRIBUTE Chars REAL
@ATTRIBUTE "Ternary Operations" REAL
@ATTRIBUTE Comments REAL
@ATTRIBUTE "Comment Readability" REAL
@ATTRIBUTE "Multi-line to All Comments" REAL
@ATTRIBUTE "Inline to All Comments" REAL
@ATTRIBUTE "Unindented Comments" {True, False}
@ATTRIBUTE Macros REAL
@ATTRIBUTE #INCLUDE REAL
@ATTRIBUTE #DEFINE REAL
@ATTRIBUTE #IFNDEF REAL
@ATTRIBUTE #IFDEF REAL
@ATTRIBUTE "Using STL Libraries" {True, False}
@ATTRIBUTE Literals REAL
@ATTRIBUTE "Literal Name Readability" REAL
@ATTRIBUTE "Custom Types" REAL
@ATTRIBUTE "Custom Type Name Readability" REAL
@ATTRIBUTE "Object Definitions" REAL
@ATTRIBUTE "Object Declarations" REAL
@ATTRIBUTE "String Readability" REAL
@ATTRIBUTE "All Keywords" REAL
@ATTRIBUTE "IF Keywords" REAL
@ATTRIBUTE "ELSE Keywords" REAL
@ATTRIBUTE "FOR Keywords" REAL
@ATTRIBUTE "WHILE Keywords" REAL
@ATTRIBUTE "SWITCH Keywords" REAL
@ATTRIBUTE "DO Keywords" REAL
@ATTRIBUTE "Unique Words" REAL
@ATTRIBUTE Functions REAL
@ATTRIBUTE "Function Name Readability" REAL
@ATTRIBUTE "Nesting Depth" REAL
@ATTRIBUTE "Average Parameter Count" REAL
@ATTRIBUTE "Parameter Count Deviation" REAL
@ATTRIBUTE Commands REAL
@ATTRIBUTE "Average Commands per Line" REAL
@ATTRIBUTE "Commands per Line Deviation" REAL
@ATTRIBUTE "Empty Lines" REAL
@ATTRIBUTE Tabulators REAL
@ATTRIBUTE Spaces REAL
@ATTRIBUTE "Space Indents" REAL
@ATTRIBUTE "Tab Indents" REAL
@ATTRIBUTE "Prefers Tabs over Spaces" {True, False}
@ATTRIBUTE "Whitespace to Character Ratio" REAL
@ATTRIBUTE "Average Line Length" REAL
@ATTRIBUTE "Line Length Deviation" REAL
@ATTRIBUTE Author {.dd, .jaz, 23nigam, 37ae912, 3abdelazim, 3of7, 735612658, A.Grishchenko, a180285, a9108, aa2985759, aaaaajack, abcsampson, abdurak, abhay26, abhra73, Abscp, abyss.7, abyssmaul, achan1058, achiever202, ACMonster, ACPrimer, acrush, ACube, adi.pearl, ADJA, Adrian.Orzepowski, AdrianKuegel, adrianvidal, AekdyCoin, AEtheReal, afix, AguL, AHA, AHdoc, AhmedSalem, ahri, ahxun2006, Ahyangyi, aibaiche, AIQINGXING, airsplay, Aiz, AizukiKoh, AK93, Akai, akashin, akat, akazakov, akhtyamovpavel, Akitsukineko, AKM, aknow, akrasuski1, Al.Cash, alabax, AlanC, alantian, alberist, albert96, alberta.green, alei.alhepSoft, Aleksander, alex.jh, alex9801, AlexAlvarez, Alexander86, AlexeyChernevich, AlexUdalov, AlexX, Aliaksei, alikhtarov, alin, allenlyh, allocator64, ALONG, alpc104, alphaking, amashrabov, Amb, Amir.bh, amirmahdi, amoebius, amthabet, Amtrix, amylase, Ananya, Anardael, Anarivu, anders, Andfive, Andrew.Makar, AndreySiunov, andrii.nakryiko, angargo, angelok7, AngryBird, angwuy, ania7}

@DATA
32,95,803,0.0,0.0,0,0,0,False,0.09375,0.09375,0.0,0.0,0.0,False,18,0.07692307692307693,0.0,0,0.0,0.0,0.3333333333333333,0.15625,0.03125,0.0,0.09375,0.03125,0.0,0.0,0.3473684210526316,0.0,0,3,0,0,25,0.78125,0.48828125,5,0,381,0.78125,0.0,False,0.47447073474470736,24.9375,10.55859375,.jaz
29,80,842,0.0,0.0,0,0,0,False,0.034482758620689655,0.034482758620689655,0.0,0.0,0.0,False,20,0.09090909090909091,0.0,0,0.0,0.0,0.3333333333333333,0.27586206896551724,0.13793103448275862,0.06896551724137931,0.06896551724137931,0.0,0.0,0.0,0.2375,0.0,0,2,0,0,18,0.6206896551724138,0.5564803804994056,4,0,450,0.896551724137931,0.0,False,0.5344418052256532,28.896551724137932,12.030915576694408,.jaz
46,159,1380,0.0,0.043478260869565216,0,0.0,0.0,True,0.043478260869565216,0.043478260869565216,0.0,0.0,0.0,False,26,0.0625,0.0,0,0.0,0.0,0.16666666666666666,0.34782608695652173,0.08695652173913043,0.021739130434782608,0.10869565217391304,0.0,0.0,0.13043478260869565,0.20125786163522014,0.0,0,5,0,0,37,0.8043478260869565,0.48960302457466903,8,0,687,0.8478260869565217,0.0,False,0.49782608695652175,29.82608695652174,13.499054820415878,.jaz
59,301,1800,0.0,0.06779661016949153,0,0.0,0.0,False,0.05084745762711865,0.05084745762711865,0.0,0.0,0.0,True,41,0.038461538461538464,0.0,0,0.0,0.0,0.25,0.1864406779661017,0.1016949152542373,0.0,0.0847457627118644,0.0,0.0,0.0,0.17275747508305647,0.03389830508474576,0.5,3,2.0,0.0,48,0.8135593220338984,0.4964090778511919,19,0,535,0.7457627118644068,0.0,False,0.2972222222222222,30.1864406779661,14.85894857799483,.jaz
38,116,912,0.0,0.0,0,0,0,False,0.07894736842105263,0.07894736842105263,0.0,0.0,0.0,True,23,0.0625,0.0,0,0.0,0.0,0.125,0.21052631578947367,0.07894736842105263,0.0,0.13157894736842105,0.0,0.0,0.0,0.33620689655172414,0.02631578947368421,0.0,4,2.0,0.0,31,0.8157894736842105,0.5152354570637119,10,0,363,0.7368421052631579,0.0,False,0.3980263157894737,23.736842105263158,10.57617728531856,.jaz
28,114,840,0.0,0.07142857142857142,0,0.0,0.0,False,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,True,10,0.125,0.0,0,0.0,0.0,0.1111111111111111,0.25,0.10714285714285714,0.0,0.14285714285714285,0.0,0.0,0.0,0.2807017543859649,0.0,0,4,0,0,23,0.8214285714285714,0.528061224489796,11,0,332,0.75,0.0,False,0.3952380952380952,29.607142857142858,14.507653061224488,.jaz
38,123,1079,0.0,0.0,0,0,0,False,0.05263157894736842,0.05263157894736842,0.0,0.0,0.0,True,23,0.07142857142857142,0.0,0,0.0,0.0,0.16666666666666666,0.21052631578947367,0.15789473684210525,0.0,0.05263157894736842,0.0,0.0,0.0,0.24390243902439024,0.0,0,2,0,0,27,0.7105263157894737,0.4861495844875347,9,0,515,0.868421052631579,0.0,False,0.4772937905468026,28.157894736842106,12.207756232686975,.jaz
48,195,1414,0.0,0.08333333333333333,0,0.005208333333333333,0.0,False,0.0625,0.0625,0.0,0.0,0.0,True,37,0.05555555555555555,0.0,0,0.0,0.0,0.25,0.22916666666666666,0.0625,0.020833333333333332,0.10416666666666667,0.020833333333333332,0.0,0.020833333333333332,0.28717948717948716,0.020833333333333332,1.0,6,2.0,0.0,36,0.75,0.59375,10,0,457,0.8125,0.0,False,0.3231966053748232,29.25,15.041666666666666,.jaz
88,135,1204,0.0,0.0,0,0,0,False,0.022727272727272728,0.022727272727272728,0.0,0.0,0.0,False,25,0.07142857142857142,0.0,0,0.0,0.0,0.25,0.22727272727272727,0.09090909090909091,0.07954545454545454,0.056818181818181816,0.0,0.0,0.0,0.23703703703703705,0.0,0,3,0,0,40,0.45454545454545453,0.5475206611570245,5,343,483,0.9318181818181818,0.9318181818181818,False,0.686046511627907,13.625,7.0397727272727275,23nigam
39,84,573,0.0,0.0,0,0,0,False,0.02564102564102564,0.02564102564102564,0.0,0.0,0.0,False,16,0.07142857142857142,0.0,0,0.1282051282051282,0.0,0.5,0.10256410256410256,0.05128205128205128,0.0,0.02564102564102564,0.02564102564102564,0.0,0.0,0.36904761904761907,0.0,0,2,0,0,22,0.5641025641025641,0.5207100591715977,6,81,165,0.8717948717948718,0.8717948717948718,False,0.4293193717277487,14.538461538461538,8.737672583826432,23nigam
